"CountryCode";"CountryName";"Continent";"Region";"Population";"GovernmentForm";"HeadOfState";"Capital"
"PCN";"Pitcairn";"Oceania";"Polynesia";50;"Dependent Territory of the UK";"Elisabeth II";2912
"PER";"Peru";"South America";"South America";25662000;"Republic";"Valentin Paniagua Corazao";2890
"PHL";"Philippines";"Asia";"Southeast Asia";75967000;"Republic";"Gloria Macapagal-Arroyo";766
"PLW";"Palau";"Oceania";"Micronesia";19000;"Republic";"Kuniwo Nakamura";2881
"PNG";"Papua New Guinea";"Oceania";"Melanesia";4807000;"Constitutional Monarchy";"Elisabeth II";2884
"POL";"Poland";"Europe";"Eastern Europe";38653600;"Republic";"Aleksander Kwasniewski";2928
"PRI";"Puerto Rico";"North America";"Caribbean";3869000;"Commonwealth of the US";"George W. Bush";2919
"PRK";"North Korea";"Asia";"Eastern Asia";24039000;"Socialistic Republic";"Kim Jong-il";2318
"PRT";"Portugal";"Europe";"Southern Europe";9997600;"Republic";"Jorge SampÃ£io";2914
"PRY";"Paraguay";"South America";"South America";5496000;"Republic";"Luis Ãngel GonzÃ¡lez Macchi";2885
"PSE";"Palestine";"Asia";"Middle East";3101000;"Autonomous Area";"Yasser (Yasir) Arafat";4074
"PYF";"French Polynesia";"Oceania";"Polynesia";235000;"Nonmetropolitan Territory of France";"Jacques Chirac";3016
"QAT";"Qatar";"Asia";"Middle East";599000;"Monarchy";"Hamad ibn Khalifa al-Thani";2973
"REU";"RÃ©union";"Africa";"Eastern Africa";699000;"Overseas Department of France";"Jacques Chirac";3017
"ROM";"Romania";"Europe";"Eastern Europe";22455500;"Republic";"Ion Iliescu";3018
"RUS";"Russian Federation";"Europe";"Eastern Europe";146934000;"Federal Republic";"Vladimir Putin";3580
"RWA";"Rwanda";"Africa";"Eastern Africa";7733000;"Republic";"Paul Kagame";3047
"SAU";"Saudi Arabia";"Asia";"Middle East";21607000;"Monarchy";"Fahd ibn Abdul-Aziz al-SaÂ´ud";3173
"SDN";"Sudan";"Africa";"Northern Africa";29490000;"Islamic Republic";"Omar Hassan Ahmad al-Bashir";3225
"SEN";"Senegal";"Africa";"Western Africa";9481000;"Republic";"Abdoulaye Wade";3198
"SGP";"Singapore";"Asia";"Southeast Asia";3567000;"Republic";"Sellapan Rama Nathan";3208
"SGS";"South Georgia and the South Sandwich Islands";"Antarctica";"Antarctica";0;"Dependent Territory of the UK";"Elisabeth II";0
"SHN";"Saint Helena";"Africa";"Western Africa";6000;"Dependent Territory of the UK";"Elisabeth II";3063
"SJM";"Svalbard and Jan Mayen";"Europe";"Nordic Countries";3200;"Dependent Territory of Norway";"Harald V";938
"SLB";"Solomon Islands";"Oceania";"Melanesia";444000;"Constitutional Monarchy";"Elisabeth II";3161
"SLE";"Sierra Leone";"Africa";"Western Africa";4854000;"Republic";"Ahmed Tejan Kabbah";3207
"SLV";"El Salvador";"North America";"Central America";6276000;"Republic";"Francisco Guillermo Flores PÃ©rez";645
"SMR";"San Marino";"Europe";"Southern Europe";27000;"Republic";"";3171
"SOM";"Somalia";"Africa";"Eastern Africa";10097000;"Republic";"Abdiqassim Salad Hassan";3214
"SPM";"Saint Pierre and Miquelon";"North America";"North America";7000;"Territorial Collectivity of France";"Jacques Chirac";3067
"STP";"Sao Tome and Principe";"Africa";"Central Africa";147000;"Republic";"Miguel Trovoada";3172
"SUR";"Suriname";"South America";"South America";417000;"Republic";"Ronald Venetiaan";3243
"SVK";"Slovakia";"Europe";"Eastern Europe";5398700;"Republic";"Rudolf Schuster";3209
"SVN";"Slovenia";"Europe";"Southern Europe";1987800;"Republic";"Milan Kucan";3212
"SWE";"Sweden";"Europe";"Nordic Countries";8861400;"Constitutional Monarchy";"Carl XVI Gustaf";3048
"SWZ";"Swaziland";"Africa";"Southern Africa";1008000;"Monarchy";"Mswati III";3244
"SYC";"Seychelles";"Africa";"Eastern Africa";77000;"Republic";"France-Albert RenÃ©";3206
"SYR";"Syria";"Asia";"Middle East";16125000;"Republic";"Bashar al-Assad";3250
"TCA";"Turks and Caicos Islands";"North America";"Caribbean";17000;"Dependent Territory of the UK";"Elisabeth II";3423
"TCD";"Chad";"Africa";"Central Africa";7651000;"Republic";"Idriss DÃ©by";3337
"test";"testa";"Asia";"test";1;"test";"test";1
"TGO";"Togo";"Africa";"Western Africa";4629000;"Republic";"GnassingbÃ© EyadÃ©ma";3332
